year,month,temp_max_c,temp_min_c,temp_mean_c,rainfall_mm,humidity_mean_pct,wind_speed_max,heat_index_c,extreme_heat_days,evapotrans_mm,season,date,cholera_cases,cholera_deaths,outbreak_year,incidence_per_10k,population,temp_mean_lag1,rainfall_lag1,heat_index_lag1,temp_mean_lag2,rainfall_lag2,heat_index_lag2,temp_3m_rolling,rainfall_3m_cumul,malaria_cases,temp_anomaly,is_long_rains,is_short_rains,is_dry
2015,12,31.7,25.0,28.22,66.1,77.0,25.6,32.15,0,156.73,Short Rains,2015-12-01,81,1,True,0.5891,1375000,26.73,162.3,29.3,27.15,23.6,29.25,27.37,252.0,762,0.65,0,1,0
2016,1,31.8,25.2,28.57,43.5,74.4,26.4,32.52,0,154.01,Dry Season,2016-01-01,109,1,True,0.773,1410000,28.22,66.1,32.15,26.73,162.3,29.3,27.84,271.9,408,0.53,0,0,0
2016,2,32.5,26.0,28.43,9.8,72.2,29.0,31.88,0,150.93,Dry Season,2016-02-01,140,1,True,0.9929,1410000,28.57,43.5,32.52,28.22,66.1,32.15,28.41,119.4,415,0.05,0,0,0
2016,3,33.0,25.5,29.01,84.5,76.4,22.3,33.93,0,150.64,Long Rains,2016-03-01,408,4,True,2.8936,1410000,28.43,9.8,31.88,28.57,43.5,32.52,28.67,137.8,243,1.05,1,0,0
2016,4,30.5,24.4,26.79,341.2,84.5,26.5,29.63,0,94.8,Long Rains,2016-04-01,479,5,True,3.3972,1410000,29.01,84.5,33.93,28.43,9.8,31.88,28.08,435.5,203,0.33,1,0,0
2016,5,29.5,23.4,26.25,20.0,74.4,29.2,27.96,0,131.28,Long Rains,2016-05-01,381,4,True,2.7021,1410000,26.79,341.2,29.63,29.01,84.5,33.93,27.35,445.7,205,0.43,1,0,0
2016,6,29.4,22.6,25.51,18.6,73.0,28.5,26.66,0,124.33,Dry Season,2016-06-01,112,1,True,0.7943,1410000,26.25,20.0,27.96,26.79,341.2,29.63,26.18,379.8,138,0.22,0,0,1
2016,7,29.0,21.9,24.81,9.6,71.5,28.6,25.75,0,129.62,Dry Season,2016-07-01,92,1,True,0.6525,1410000,25.51,18.6,26.66,26.25,20.0,27.96,25.52,48.2,149,0.07,0,0,1
2016,8,29.1,21.8,24.94,19.5,72.1,28.2,25.88,0,131.4,Dry Season,2016-08-01,85,1,True,0.6028,1410000,24.81,9.6,25.75,25.51,18.6,26.66,25.09,47.7,175,0.1,0,0,1
2016,9,29.5,21.6,25.26,11.7,69.6,23.1,26.29,0,143.19,Dry Season,2016-09-01,177,2,True,1.2553,1410000,24.94,19.5,25.88,24.81,9.6,25.75,25.0,40.8,293,-0.16,0,0,1
2016,10,30.5,22.9,26.33,11.3,71.3,22.3,27.89,0,157.91,Short Rains,2016-10-01,398,4,True,2.8227,1410000,25.26,11.7,26.29,24.94,19.5,25.88,25.51,42.5,357,0.04,0,1,0
2016,11,31.4,24.4,27.2,50.0,74.2,21.7,29.58,0,148.06,Short Rains,2016-11-01,425,4,True,3.0142,1410000,26.33,11.3,27.89,25.26,11.7,26.29,26.26,73.0,518,0.36,0,1,0
2016,12,31.8,24.2,27.93,64.8,74.8,23.3,31.13,0,157.63,Short Rains,2016-12-01,278,3,True,1.9716,1410000,27.2,50.0,29.58,26.33,11.3,27.89,27.15,126.1,656,0.36,0,1,0
2017,1,33.4,25.0,28.48,53.0,66.9,32.6,31.16,0,175.24,Dry Season,2017-01-01,0,0,False,0.0,1445000,27.93,64.8,31.13,27.2,50.0,29.58,27.87,167.8,487,0.44,0,0,0
2017,2,34.2,24.1,28.36,30.1,69.9,26.5,31.35,0,148.87,Dry Season,2017-02-01,0,0,False,0.0,1445000,28.48,53.0,31.16,27.93,64.8,31.13,28.26,147.9,407,-0.02,0,0,0
2017,3,35.2,24.2,28.19,88.2,75.9,19.5,31.82,2,142.07,Long Rains,2017-03-01,0,0,False,0.0,1445000,28.36,30.1,31.35,28.48,53.0,31.16,28.34,171.3,269,0.23,1,0,0
2017,4,30.7,23.6,26.22,391.7,83.6,26.0,28.24,0,97.96,Long Rains,2017-04-01,0,0,False,0.0,1445000,28.19,88.2,31.82,28.36,30.1,31.35,27.59,510.0,220,-0.24,1,0,0
2017,5,29.0,23.0,25.26,368.7,85.7,23.4,26.24,0,85.51,Long Rains,2017-05-01,0,0,False,0.0,1445000,26.22,391.7,28.24,28.19,88.2,31.82,26.56,848.6,232,-0.56,1,0,0
2017,6,28.6,22.3,25.11,65.6,80.4,22.7,26.06,0,99.63,Dry Season,2017-06-01,0,0,False,0.0,1445000,25.26,368.7,26.24,26.22,391.7,28.24,25.53,826.0,169,-0.18,0,0,1
2017,7,28.4,20.8,24.65,40.1,77.5,25.8,25.4,0,115.42,Dry Season,2017-07-01,0,0,False,0.0,1445000,25.11,65.6,26.06,25.26,368.7,26.24,25.01,474.4,155,-0.09,0,0,1
2017,8,29.2,20.5,24.71,44.3,75.5,27.6,25.51,0,120.78,Dry Season,2017-08-01,0,0,False,0.0,1445000,24.65,40.1,25.4,25.11,65.6,26.06,24.82,150.0,223,-0.13,0,0,1
2017,9,30.6,20.3,25.14,35.3,74.8,27.7,26.15,0,132.87,Dry Season,2017-09-01,0,0,False,0.0,1445000,24.71,44.3,25.51,24.65,40.1,25.4,24.83,119.7,316,-0.28,0,0,1
2017,10,31.8,21.6,26.19,59.6,75.1,24.8,27.77,0,138.41,Short Rains,2017-10-01,0,0,False,0.0,1445000,25.14,35.3,26.15,24.71,44.3,25.51,25.35,139.2,388,-0.1,0,1,0
2017,11,30.5,23.0,26.31,179.8,82.6,19.1,28.42,0,122.16,Short Rains,2017-11-01,0,0,False,0.0,1445000,26.19,59.6,27.77,25.14,35.3,26.15,25.88,274.7,634,-0.54,0,1,0
2017,12,31.3,24.0,27.13,76.8,78.1,25.3,29.75,0,138.67,Short Rains,2017-12-01,0,0,False,0.0,1445000,26.31,179.8,28.42,26.19,59.6,27.77,26.54,316.2,807,-0.44,0,1,0
2018,1,32.7,22.7,27.01,37.4,74.4,27.1,29.24,0,148.54,Dry Season,2018-01-01,0,0,False,0.0,1480000,27.13,76.8,29.75,26.31,179.8,28.42,26.82,294.0,663,-1.03,0,0,0
2018,2,33.5,23.8,27.95,24.0,70.4,30.8,30.65,0,147.35,Dry Season,2018-02-01,0,0,False,0.0,1480000,27.01,37.4,29.24,27.13,76.8,29.75,27.36,138.2,540,-0.43,0,0,0
2018,3,32.6,24.0,27.37,169.9,80.4,21.9,30.56,0,121.59,Long Rains,2018-03-01,0,0,False,0.0,1480000,27.95,24.0,30.65,27.01,37.4,29.24,27.44,231.3,292,-0.59,1,0,0
2018,4,30.0,23.5,25.93,500.7,84.8,30.1,27.64,0,91.87,Long Rains,2018-04-01,0,0,False,0.0,1480000,27.37,169.9,30.56,27.95,24.0,30.65,27.08,694.6,249,-0.53,1,0,0
2018,5,29.1,23.1,25.35,254.8,84.8,21.8,26.38,0,89.96,Long Rains,2018-05-01,0,0,False,0.0,1480000,25.93,500.7,27.64,27.37,169.9,30.56,26.22,925.4,244,-0.47,1,0,0
2018,6,28.3,21.6,24.81,74.2,79.0,25.7,25.57,0,103.0,Dry Season,2018-06-01,0,0,False,0.0,1480000,25.35,254.8,26.38,25.93,500.7,27.64,25.36,829.7,227,-0.48,0,0,1
2018,7,28.3,21.2,24.35,54.4,77.4,27.1,24.96,0,110.69,Dry Season,2018-07-01,0,0,False,0.0,1480000,24.81,74.2,25.57,25.35,254.8,26.38,24.84,383.4,210,-0.39,0,0,1
2018,8,29.0,20.4,24.53,27.0,73.6,23.2,25.33,0,126.77,Dry Season,2018-08-01,0,0,False,0.0,1480000,24.35,54.4,24.96,24.81,74.2,25.57,24.56,155.6,275,-0.31,0,0,1
2018,9,30.2,20.2,25.15,66.1,74.6,21.8,26.12,0,130.59,Dry Season,2018-09-01,0,0,False,0.0,1480000,24.53,27.0,25.33,24.35,54.4,24.96,24.68,147.5,422,-0.27,0,0,1
2018,10,31.2,21.5,25.82,111.8,75.6,36.3,27.17,0,143.63,Short Rains,2018-10-01,0,0,False,0.0,1480000,25.15,66.1,26.12,24.53,27.0,25.33,25.17,204.9,465,-0.47,0,1,0
2018,11,31.3,21.9,26.41,77.3,80.4,21.6,28.54,0,128.78,Short Rains,2018-11-01,0,0,False,0.0,1480000,25.82,111.8,27.17,25.15,66.1,26.12,25.79,255.2,753,-0.43,0,1,0
2018,12,32.0,23.8,27.44,99.3,79.9,22.3,30.71,0,136.49,Short Rains,2018-12-01,0,0,False,0.0,1480000,26.41,77.3,28.54,25.82,111.8,27.17,26.56,288.4,1108,-0.13,0,1,0
2019,1,33.8,24.3,28.29,49.7,72.4,27.6,31.56,0,159.46,Dry Season,2019-01-01,0,0,False,0.0,1515000,27.44,99.3,30.71,26.41,77.3,28.54,27.38,226.3,759,0.25,0,0,0
2019,2,34.3,24.9,28.67,30.8,70.7,27.9,32.11,0,150.65,Dry Season,2019-02-01,0,0,False,0.0,1515000,28.29,49.7,31.56,27.44,99.3,30.71,28.13,179.8,608,0.29,0,0,0
2019,3,35.0,24.4,28.8,50.4,71.3,22.1,32.5,1,161.8,Long Rains,2019-03-01,0,0,False,0.0,1515000,28.67,30.8,32.11,28.29,49.7,31.56,28.59,130.9,385,0.84,1,0,0
2019,4,32.9,24.4,27.33,140.4,82.5,21.3,30.74,0,110.55,Long Rains,2019-04-01,0,0,False,0.0,1515000,28.8,50.4,32.5,28.67,30.8,32.11,28.27,221.6,311,0.87,1,0,0
2019,5,29.2,22.6,25.54,346.3,85.4,25.7,26.82,0,85.24,Long Rains,2019-05-01,0,0,False,0.0,1515000,27.33,140.4,30.74,28.8,50.4,32.5,27.22,537.1,373,-0.28,1,0,0
2019,6,28.8,22.3,25.41,25.2,75.3,26.3,26.54,0,120.86,Dry Season,2019-06-01,0,0,False,0.0,1515000,25.54,346.3,26.82,27.33,140.4,30.74,26.09,511.9,291,0.12,0,0,1
2019,7,29.1,21.1,24.89,44.3,75.3,29.9,25.8,0,119.99,Dry Season,2019-07-01,0,0,False,0.0,1515000,25.41,25.2,26.54,25.54,346.3,26.82,25.28,415.8,279,0.15,0,0,1
2019,8,30.0,20.5,24.88,53.3,76.0,28.6,25.74,0,122.92,Dry Season,2019-08-01,0,0,False,0.0,1515000,24.89,44.3,25.8,25.41,25.2,26.54,25.06,122.8,368,0.04,0,0,1
2019,9,30.9,21.4,25.32,66.0,75.6,31.9,26.36,0,130.23,Dry Season,2019-09-01,0,0,False,0.0,1515000,24.88,53.3,25.74,24.89,44.3,25.8,25.03,163.6,508,-0.1,0,0,1
2019,10,30.3,22.3,25.59,305.8,84.3,23.3,26.94,0,114.76,Short Rains,2019-10-01,0,0,False,0.0,1515000,25.32,66.0,26.36,24.88,53.3,25.74,25.26,425.1,563,-0.7,0,1,0
2019,11,31.0,22.8,26.62,132.5,82.5,21.7,29.11,0,124.44,Short Rains,2019-11-01,0,0,False,0.0,1515000,25.59,305.8,26.94,25.32,66.0,26.36,25.84,504.3,1036,-0.22,0,1,0
2019,12,31.6,23.6,27.12,196.4,83.6,26.2,30.35,0,122.61,Short Rains,2019-12-01,0,0,False,0.0,1515000,26.62,132.5,29.11,25.59,305.8,26.94,26.44,634.7,1298,-0.45,0,1,0
2020,1,32.2,24.4,27.8,87.5,79.7,28.1,31.52,0,139.11,Dry Season,2020-01-01,0,0,False,0.0,1550000,27.12,196.4,30.35,26.62,132.5,29.11,27.18,416.4,860,-0.24,0,0,0
2020,2,33.6,24.3,27.88,109.7,80.0,21.6,31.74,0,129.58,Dry Season,2020-02-01,0,0,False,0.0,1550000,27.8,87.5,31.52,27.12,196.4,30.35,27.6,393.6,731,-0.5,0,0,0
2020,3,32.8,24.5,27.54,202.6,83.3,18.9,31.36,0,116.44,Long Rains,2020-03-01,0,0,False,0.0,1550000,27.88,109.7,31.74,27.8,87.5,31.52,27.74,399.8,383,-0.42,1,0,0
2020,4,30.3,23.6,26.4,516.6,86.9,22.6,28.86,0,86.73,Long Rains,2020-04-01,0,0,False,0.0,1550000,27.54,202.6,31.36,27.88,109.7,31.74,27.27,828.9,303,-0.06,1,0,0
