date,year,month,month_name,season,cholera_cases,cholera_deaths,outbreak_year,incidence_per_10k,population
2019-09-01,2019,9,September,Dry Season,0,0,False,0.0,1515000
2019-10-01,2019,10,October,Short Rains,0,0,False,0.0,1515000
2019-11-01,2019,11,November,Short Rains,0,0,False,0.0,1515000
2019-12-01,2019,12,December,Short Rains,0,0,False,0.0,1515000
2020-01-01,2020,1,January,Dry Season,0,0,False,0.0,1550000
2020-02-01,2020,2,February,Dry Season,0,0,False,0.0,1550000
2020-03-01,2020,3,March,Long Rains,0,0,False,0.0,1550000
2020-04-01,2020,4,April,Long Rains,0,0,False,0.0,1550000
2020-05-01,2020,5,May,Long Rains,0,0,False,0.0,1550000
2020-06-01,2020,6,June,Dry Season,0,0,False,0.0,1550000
2020-07-01,2020,7,July,Dry Season,0,0,False,0.0,1550000
2020-08-01,2020,8,August,Dry Season,0,0,False,0.0,1550000
2020-09-01,2020,9,September,Dry Season,0,0,False,0.0,1550000
2020-10-01,2020,10,October,Short Rains,0,0,False,0.0,1550000
2020-11-01,2020,11,November,Short Rains,0,0,False,0.0,1550000
2020-12-01,2020,12,December,Short Rains,0,0,False,0.0,1550000
2021-01-01,2021,1,January,Dry Season,2,0,False,0.0126,1585000
2021-02-01,2021,2,February,Dry Season,2,0,False,0.0126,1585000
2021-03-01,2021,3,March,Long Rains,6,0,False,0.0379,1585000
2021-04-01,2021,4,April,Long Rains,6,0,False,0.0379,1585000
2021-05-01,2021,5,May,Long Rains,5,0,False,0.0315,1585000
2021-06-01,2021,6,June,Dry Season,2,0,False,0.0126,1585000
2021-07-01,2021,7,July,Dry Season,1,0,False,0.0063,1585000
2021-08-01,2021,8,August,Dry Season,2,0,False,0.0126,1585000
2021-09-01,2021,9,September,Dry Season,3,0,False,0.0189,1585000
2021-10-01,2021,10,October,Short Rains,5,0,False,0.0315,1585000
2021-11-01,2021,11,November,Short Rains,7,0,False,0.0442,1585000
2021-12-01,2021,12,December,Short Rains,4,0,False,0.0252,1585000
2022-01-01,2022,1,January,Dry Season,1,0,False,0.0062,1620000
2022-02-01,2022,2,February,Dry Season,1,0,False,0.0062,1620000
2022-03-01,2022,3,March,Long Rains,3,0,False,0.0185,1620000
2022-04-01,2022,4,April,Long Rains,3,0,False,0.0185,1620000
2022-05-01,2022,5,May,Long Rains,2,0,False,0.0123,1620000
2022-06-01,2022,6,June,Dry Season,1,0,False,0.0062,1620000
2022-07-01,2022,7,July,Dry Season,1,0,False,0.0062,1620000
2022-08-01,2022,8,August,Dry Season,1,0,False,0.0062,1620000
2022-09-01,2022,9,September,Dry Season,1,0,False,0.0062,1620000
2022-10-01,2022,10,October,Short Rains,3,0,False,0.0185,1620000
2022-11-01,2022,11,November,Short Rains,4,0,False,0.0247,1620000
2022-12-01,2022,12,December,Short Rains,2,0,False,0.0123,1620000
2023-01-01,2023,1,January,Dry Season,7,0,False,0.0423,1655000
2023-02-01,2023,2,February,Dry Season,7,0,False,0.0423,1655000
2023-03-01,2023,3,March,Long Rains,17,0,False,0.1027,1655000
2023-04-01,2023,4,April,Long Rains,23,0,False,0.139,1655000
2023-05-01,2023,5,May,Long Rains,16,0,False,0.0967,1655000
2023-06-01,2023,6,June,Dry Season,6,0,False,0.0363,1655000
2023-07-01,2023,7,July,Dry Season,5,0,False,0.0302,1655000
2023-08-01,2023,8,August,Dry Season,5,0,False,0.0302,1655000
2023-09-01,2023,9,September,Dry Season,7,0,False,0.0423,1655000
2023-10-01,2023,10,October,Short Rains,21,0,False,0.1269,1655000
2023-11-01,2023,11,November,Short Rains,21,0,False,0.1269,1655000
2023-12-01,2023,12,December,Short Rains,14,0,False,0.0846,1655000
2024-01-01,2024,1,January,Dry Season,3,0,False,0.0178,1690000
2024-02-01,2024,2,February,Dry Season,4,0,False,0.0237,1690000
2024-03-01,2024,3,March,Long Rains,11,0,False,0.0651,1690000
2024-04-01,2024,4,April,Long Rains,11,0,False,0.0651,1690000
2024-05-01,2024,5,May,Long Rains,10,0,False,0.0592,1690000
2024-06-01,2024,6,June,Dry Season,3,0,False,0.0178,1690000
2024-07-01,2024,7,July,Dry Season,3,0,False,0.0178,1690000
2024-08-01,2024,8,August,Dry Season,2,0,False,0.0118,1690000
2024-09-01,2024,9,September,Dry Season,5,0,False,0.0296,1690000
2024-10-01,2024,10,October,Short Rains,10,0,False,0.0592,1690000
2024-11-01,2024,11,November,Short Rains,14,0,False,0.0828,1690000
2024-12-01,2024,12,December,Short Rains,8,0,False,0.0473,1690000
2025-01-01,2025,1,January,Dry Season,8,0,False,0.0464,1725000
2025-02-01,2025,2,February,Dry Season,7,0,False,0.0406,1725000
2025-03-01,2025,3,March,Long Rains,28,0,False,0.1623,1725000
2025-04-01,2025,4,April,Long Rains,32,0,False,0.1855,1725000
2025-05-01,2025,5,May,Long Rains,21,0,False,0.1217,1725000
2025-06-01,2025,6,June,Dry Season,9,0,False,0.0522,1725000
2025-07-01,2025,7,July,Dry Season,7,0,False,0.0406,1725000
2025-08-01,2025,8,August,Dry Season,6,0,False,0.0348,1725000
2025-09-01,2025,9,September,Dry Season,10,0,False,0.058,1725000
2025-10-01,2025,10,October,Short Rains,23,0,False,0.1333,1725000
2025-11-01,2025,11,November,Short Rains,26,0,False,0.1507,1725000
2025-12-01,2025,12,December,Short Rains,23,0,False,0.1333,1725000
2026-01-01,2026,1,January,Dry Season,1,0,False,0.0057,1760000
2026-02-01,2026,2,February,Dry Season,1,0,False,0.0057,1760000
2026-03-01,2026,3,March,Long Rains,2,0,False,0.0114,1760000
2026-04-01,2026,4,April,Long Rains,2,0,False,0.0114,1760000
