year,month,temp_max_c,temp_min_c,temp_mean_c,rainfall_mm,humidity_mean_pct,wind_speed_max,heat_index_c,extreme_heat_days,evapotrans_mm,season,date,cholera_cases,cholera_deaths,outbreak_year,incidence_per_10k,population,temp_mean_lag1,rainfall_lag1,heat_index_lag1,temp_mean_lag2,rainfall_lag2,heat_index_lag2,temp_3m_rolling,rainfall_3m_cumul,malaria_cases,malaria_incidence,malaria_real,temp_anomaly,risk_score,alert_level,alert_color
2014,1,31.4,25.6,27.99,7.4,70.3,29.7,30.7,0,173.6,Dry Season,2014-01-01,0,0,False,0.0,1340000,27.6,79.4,30.75,27.09,86.6,29.6,27.56,173.4,146,1.0896,False,-0.04937500000000128,20.0,🟢 GREEN — Low,#2ecc71
2014,2,31.9,25.9,28.27,12.9,72.6,26.1,31.57,0,146.03,Dry Season,2014-02-01,0,0,False,0.0,1340000,27.99,7.4,30.7,27.6,79.4,30.75,27.95,99.7,111,0.8284,False,-0.11062500000000242,20.7,🟢 GREEN — Low,#2ecc71
2014,3,32.1,24.3,27.3,202.6,81.4,22.2,30.5,0,123.76,Long Rains,2014-03-01,1,0,False,0.0075,1340000,28.27,12.9,31.57,27.99,7.4,30.7,27.85,222.9,80,0.597,False,-0.6576470588235317,24.9,🟢 GREEN — Low,#2ecc71
2014,4,29.6,23.9,26.22,189.8,84.8,20.0,28.35,0,104.21,Long Rains,2014-04-01,1,0,False,0.0075,1340000,27.3,202.6,30.5,28.27,12.9,31.57,27.26,405.3,64,0.4776,False,-0.240000000000002,22.9,🟢 GREEN — Low,#2ecc71
2014,5,28.9,23.4,25.65,139.8,82.1,24.6,27.01,0,102.42,Long Rains,2014-05-01,1,0,False,0.0075,1340000,26.22,189.8,28.35,27.3,202.6,30.5,26.39,532.2,66,0.4925,False,-0.17250000000000298,19.5,🟢 GREEN — Low,#2ecc71
2014,6,28.7,23.0,25.52,19.1,75.5,27.8,26.75,0,114.81,Dry Season,2014-06-01,0,0,False,0.0,1340000,25.65,139.8,27.01,26.22,189.8,28.35,25.8,348.7,53,0.3955,False,0.23000000000000043,15.5,🟢 GREEN — Low,#2ecc71
2014,7,28.7,22.4,25.02,25.6,73.4,28.4,25.95,0,122.9,Dry Season,2014-07-01,0,0,False,0.0,1340000,25.52,19.1,26.75,25.65,139.8,27.01,25.4,184.5,49,0.3657,False,0.28187499999999943,14.9,🟢 GREEN — Low,#2ecc71
2014,8,29.6,20.9,25.17,13.9,73.9,22.5,26.19,0,128.6,Dry Season,2014-08-01,0,0,False,0.0,1340000,25.02,25.6,25.95,25.52,19.1,26.75,25.24,58.6,66,0.4925,False,0.32500000000000284,15.0,🟢 GREEN — Low,#2ecc71
2014,9,29.2,22.6,25.23,33.9,73.2,28.2,26.27,0,134.21,Dry Season,2014-09-01,0,0,False,0.0,1340000,25.17,13.9,26.19,25.02,25.6,25.95,25.14,73.4,76,0.5672,False,-0.19125000000000014,14.3,🟢 GREEN — Low,#2ecc71
2014,10,30.8,22.6,26.47,36.3,74.2,32.6,28.23,0,149.87,Short Rains,2014-10-01,1,0,False,0.0075,1340000,25.23,33.9,26.27,25.17,13.9,26.19,25.62,84.1,100,0.7463,False,0.17937500000000028,18.4,🟢 GREEN — Low,#2ecc71
2014,11,32.0,23.8,27.04,102.3,79.0,19.0,29.68,0,138.08,Short Rains,2014-11-01,1,0,False,0.0075,1340000,26.47,36.3,28.23,25.23,33.9,26.27,26.25,172.5,150,1.1194,False,0.19500000000000028,23.4,🟢 GREEN — Low,#2ecc71
2014,12,31.1,24.3,27.69,69.2,77.5,26.5,30.92,0,148.34,Short Rains,2014-12-01,1,0,False,0.0075,1340000,27.04,102.3,29.68,26.47,36.3,28.23,27.07,207.8,218,1.6269,False,0.12250000000000227,24.0,🟢 GREEN — Low,#2ecc71
2015,1,31.0,25.6,27.67,8.4,71.9,32.4,30.28,0,165.91,Dry Season,2015-01-01,34,0,True,0.2473,1375000,27.69,69.2,30.92,27.04,102.3,29.68,27.47,179.9,505,3.6727,True,-0.369374999999998,23.4,🟢 GREEN — Low,#2ecc71
2015,2,32.7,25.1,28.38,6.9,70.8,29.4,31.53,0,157.48,Dry Season,2015-02-01,33,0,True,0.24,1375000,27.67,8.4,30.28,27.69,69.2,30.92,27.91,84.5,409,2.9745,True,-0.0006250000000029843,25.1,🟢 GREEN — Low,#2ecc71
2015,3,32.6,24.1,27.45,156.1,76.5,24.0,30.08,0,138.35,Long Rains,2015-03-01,117,1,True,0.8509,1375000,28.38,6.9,31.53,27.67,8.4,30.28,27.83,171.4,280,2.0364,True,-0.5076470588235331,29.6,🟢 GREEN — Low,#2ecc71
2015,4,30.6,23.7,26.98,97.4,81.1,23.8,29.77,0,118.6,Long Rains,2015-04-01,119,1,True,0.8655,1375000,27.45,156.1,30.08,28.38,6.9,31.53,27.6,260.4,209,1.52,True,0.5199999999999996,29.7,🟢 GREEN — Low,#2ecc71
2015,5,29.7,23.9,25.9,234.3,82.1,24.6,27.44,0,100.61,Long Rains,2015-05-01,91,1,True,0.6618,1375000,26.98,97.4,29.77,27.45,156.1,30.08,26.78,487.8,205,1.4909,True,0.07749999999999702,29.6,🟢 GREEN — Low,#2ecc71
2015,6,29.8,22.8,25.67,20.9,74.1,24.9,26.93,0,117.89,Dry Season,2015-06-01,36,0,True,0.2618,1375000,25.9,234.3,27.44,26.98,97.4,29.77,26.18,352.6,175,1.2727,True,0.38000000000000256,19.0,🟢 GREEN — Low,#2ecc71
2015,7,28.7,22.5,25.1,27.2,74.6,25.0,26.08,0,117.13,Dry Season,2015-07-01,24,0,True,0.1745,1375000,25.67,20.9,26.93,25.9,234.3,27.44,25.56,282.4,158,1.1491,True,0.3618750000000013,17.4,🟢 GREEN — Low,#2ecc71
2015,8,29.5,22.1,25.27,14.2,71.7,31.3,26.32,0,133.91,Dry Season,2015-08-01,29,0,True,0.2109,1375000,25.1,27.2,26.08,25.67,20.9,26.93,25.35,62.3,232,1.6873,True,0.4250000000000007,18.4,🟢 GREEN — Low,#2ecc71
2015,9,30.5,21.5,25.77,11.1,71.0,29.5,27.01,0,144.16,Dry Season,2015-09-01,39,0,True,0.2836,1375000,25.27,14.2,26.32,25.1,27.2,26.08,25.38,52.5,272,1.9782,True,0.348749999999999,19.6,🟢 GREEN — Low,#2ecc71
2015,10,31.9,23.7,27.15,23.6,71.7,22.8,29.25,0,157.39,Short Rains,2015-10-01,122,1,True,0.8873,1375000,25.77,11.1,27.01,25.27,14.2,26.32,26.06,48.9,435,3.1636,True,0.859375,29.6,🟢 GREEN — Low,#2ecc71
2015,11,29.8,24.2,26.73,162.3,81.9,27.2,29.3,0,125.66,Short Rains,2015-11-01,135,1,True,0.9818,1375000,27.15,23.6,29.25,25.77,11.1,27.01,26.55,197.0,645,4.6909,True,-0.11499999999999844,34.6,🟡 YELLOW — Moderate,#f1c40f
2015,12,31.7,25.0,28.22,66.1,77.0,25.6,32.15,0,156.73,Short Rains,2015-12-01,81,1,True,0.5891,1375000,26.73,162.3,29.3,27.15,23.6,29.25,27.37,252.0,762,5.5418,True,0.6524999999999999,35.9,🟡 YELLOW — Moderate,#f1c40f
2016,1,31.8,25.2,28.57,43.5,74.4,26.4,32.52,0,154.01,Dry Season,2016-01-01,109,1,True,0.773,1410000,28.22,66.1,32.15,26.73,162.3,29.3,27.84,271.9,408,2.8936,True,0.5306250000000006,32.6,🟡 YELLOW — Moderate,#f1c40f
2016,2,32.5,26.0,28.43,9.8,72.2,29.0,31.88,0,150.93,Dry Season,2016-02-01,140,1,True,0.9929,1410000,28.57,43.5,32.52,28.22,66.1,32.15,28.41,119.4,415,2.9433,True,0.049374999999997726,30.2,🟡 YELLOW — Moderate,#f1c40f
2016,3,33.0,25.5,29.01,84.5,76.4,22.3,33.93,0,150.64,Long Rains,2016-03-01,408,4,True,2.8936,1410000,28.43,9.8,31.88,28.57,43.5,32.52,28.67,137.8,243,1.7234,True,1.0523529411764692,48.1,🟡 YELLOW — Moderate,#f1c40f
2016,4,30.5,24.4,26.79,341.2,84.5,26.5,29.63,0,94.8,Long Rains,2016-04-01,479,5,True,3.3972,1410000,29.01,84.5,33.93,28.43,9.8,31.88,28.08,435.5,203,1.4397,True,0.3299999999999983,53.0,🟠 ORANGE — High,#e67e22
2016,5,29.5,23.4,26.25,20.0,74.4,29.2,27.96,0,131.28,Long Rains,2016-05-01,381,4,True,2.7021,1410000,26.79,341.2,29.63,29.01,84.5,33.93,27.35,445.7,205,1.4539,True,0.42749999999999844,34.5,🟡 YELLOW — Moderate,#f1c40f
2016,6,29.4,22.6,25.51,18.6,73.0,28.5,26.66,0,124.33,Dry Season,2016-06-01,112,1,True,0.7943,1410000,26.25,20.0,27.96,26.79,341.2,29.63,26.18,379.8,138,0.9787,True,0.22000000000000242,20.7,🟢 GREEN — Low,#2ecc71
2016,7,29.0,21.9,24.81,9.6,71.5,28.6,25.75,0,129.62,Dry Season,2016-07-01,92,1,True,0.6525,1410000,25.51,18.6,26.66,26.25,20.0,27.96,25.52,48.2,149,1.0567,True,0.07187499999999858,18.0,🟢 GREEN — Low,#2ecc71
2016,8,29.1,21.8,24.94,19.5,72.1,28.2,25.88,0,131.4,Dry Season,2016-08-01,85,1,True,0.6028,1410000,24.81,9.6,25.75,25.51,18.6,26.66,25.09,47.7,175,1.2411,True,0.09500000000000242,18.6,🟢 GREEN — Low,#2ecc71
2016,9,29.5,21.6,25.26,11.7,69.6,23.1,26.29,0,143.19,Dry Season,2016-09-01,177,2,True,1.2553,1410000,24.94,19.5,25.88,24.81,9.6,25.75,25.0,40.8,293,2.078,True,-0.161249999999999,22.8,🟢 GREEN — Low,#2ecc71
2016,10,30.5,22.9,26.33,11.3,71.3,22.3,27.89,0,157.91,Short Rains,2016-10-01,398,4,True,2.8227,1410000,25.26,11.7,26.29,24.94,19.5,25.88,25.51,42.5,357,2.5319,True,0.039374999999999716,34.9,🟡 YELLOW — Moderate,#f1c40f
2016,11,31.4,24.4,27.2,50.0,74.2,21.7,29.58,0,148.06,Short Rains,2016-11-01,425,4,True,3.0142,1410000,26.33,11.3,27.89,25.26,11.7,26.29,26.26,73.0,518,3.6738,True,0.3550000000000004,42.3,🟡 YELLOW — Moderate,#f1c40f
2016,12,31.8,24.2,27.93,64.8,74.8,23.3,31.13,0,157.63,Short Rains,2016-12-01,278,3,True,1.9716,1410000,27.2,50.0,29.58,26.33,11.3,27.89,27.15,126.1,656,4.6525,True,0.3625000000000007,40.4,🟡 YELLOW — Moderate,#f1c40f
2017,1,33.4,25.0,28.48,53.0,66.9,32.6,31.16,0,175.24,Dry Season,2017-01-01,0,0,False,0.0,1445000,27.93,64.8,31.13,27.2,50.0,29.58,27.87,167.8,487,3.3702,True,0.4406250000000007,27.4,🟢 GREEN — Low,#2ecc71
2017,2,34.2,24.1,28.36,30.1,69.9,26.5,31.35,0,148.87,Dry Season,2017-02-01,0,0,False,0.0,1445000,28.48,53.0,31.16,27.93,64.8,31.13,28.26,147.9,407,2.8166,True,-0.020625000000002558,24.4,🟢 GREEN — Low,#2ecc71
2017,3,35.2,24.2,28.19,88.2,75.9,19.5,31.82,2,142.07,Long Rains,2017-03-01,0,0,False,0.0,1445000,28.36,30.1,31.35,28.48,53.0,31.16,28.34,171.3,269,1.8616,True,0.23235294117646887,26.8,🟢 GREEN — Low,#2ecc71
2017,4,30.7,23.6,26.22,391.7,83.6,26.0,28.24,0,97.96,Long Rains,2017-04-01,0,0,False,0.0,1445000,28.19,88.2,31.82,28.36,30.1,31.35,27.59,510.0,220,1.5225,True,-0.240000000000002,32.4,🟡 YELLOW — Moderate,#f1c40f
2017,5,29.0,23.0,25.26,368.7,85.7,23.4,26.24,0,85.51,Long Rains,2017-05-01,0,0,False,0.0,1445000,26.22,391.7,28.24,28.19,88.2,31.82,26.56,848.6,232,1.6055,True,-0.5625,28.0,🟢 GREEN — Low,#2ecc71
2017,6,28.6,22.3,25.11,65.6,80.4,22.7,26.06,0,99.63,Dry Season,2017-06-01,0,0,False,0.0,1445000,25.26,368.7,26.24,26.22,391.7,28.24,25.53,826.0,169,1.1696,True,-0.17999999999999972,16.3,🟢 GREEN — Low,#2ecc71
2017,7,28.4,20.8,24.65,40.1,77.5,25.8,25.4,0,115.42,Dry Season,2017-07-01,0,0,False,0.0,1445000,25.11,65.6,26.06,25.26,368.7,26.24,25.01,474.4,155,1.0727,True,-0.08812500000000156,14.6,🟢 GREEN — Low,#2ecc71
2017,8,29.2,20.5,24.71,44.3,75.5,27.6,25.51,0,120.78,Dry Season,2017-08-01,0,0,False,0.0,1445000,24.65,40.1,25.4,25.11,65.6,26.06,24.82,150.0,223,1.5433,True,-0.134999999999998,15.4,🟢 GREEN — Low,#2ecc71
2017,9,30.6,20.3,25.14,35.3,74.8,27.7,26.15,0,132.87,Dry Season,2017-09-01,0,0,False,0.0,1445000,24.71,44.3,25.51,24.65,40.1,25.4,24.83,119.7,316,2.1869,True,-0.28125,16.3,🟢 GREEN — Low,#2ecc71
2017,10,31.8,21.6,26.19,59.6,75.1,24.8,27.77,0,138.41,Short Rains,2017-10-01,0,0,False,0.0,1445000,25.14,35.3,26.15,24.71,44.3,25.51,25.35,139.2,388,2.6851,True,-0.1006249999999973,20.6,🟢 GREEN — Low,#2ecc71
2017,11,30.5,23.0,26.31,179.8,82.6,19.1,28.42,0,122.16,Short Rains,2017-11-01,0,0,False,0.0,1445000,26.19,59.6,27.77,25.14,35.3,26.15,25.88,274.7,634,4.3875,True,-0.5350000000000001,27.3,🟢 GREEN — Low,#2ecc71
2017,12,31.3,24.0,27.13,76.8,78.1,25.3,29.75,0,138.67,Short Rains,2017-12-01,0,0,False,0.0,1445000,26.31,179.8,28.42,26.19,59.6,27.77,26.54,316.2,807,5.5848,True,-0.4375,26.9,🟢 GREEN — Low,#2ecc71
2018,1,32.7,22.7,27.01,37.4,74.4,27.1,29.24,0,148.54,Dry Season,2018-01-01,0,0,False,0.0,1480000,27.13,76.8,29.75,26.31,179.8,28.42,26.82,294.0,663,4.4797,True,-1.0293749999999982,21.2,🟢 GREEN — Low,#2ecc71
2018,2,33.5,23.8,27.95,24.0,70.4,30.8,30.65,0,147.35,Dry Season,2018-02-01,0,0,False,0.0,1480000,27.01,37.4,29.24,27.13,76.8,29.75,27.36,138.2,540,3.6486,True,-0.4306250000000027,23.2,🟢 GREEN — Low,#2ecc71
